"GEO_ID","id"
"NAME","Geographic Area Name"
"GEO_ID_F","Geo Footnote"
"NAICS2017","2017 NAICS code"
"INDGROUP","Industry group"
"SUBSECTOR","SUBSECTOR"
"NAICS2017_F","2017 NAICS Footnote"
"NAICS2017_LABEL","Meaning of NAICS code"
"INDLEVEL","Industry level"
"SECTOR","NAICS economic sector "
"OWNER_SEX","Sex code"
"OWNER_SEX_LABEL","Meaning of Sex code"
"OWNER_ETH","Ethnicity code"
"OWNER_ETH_LABEL","Meaning of Ethnicity code"
"OWNER_RACE","Race code"
"OWNER_RACE_LABEL","Meaning of Race code"
"OWNER_VET","Veteran code"
"OWNER_VET_LABEL","Meaning of Veteran code"
"QDESC","Question description code"
"QDESC_LABEL","Meaning of Question description code"
"OWNCHAR","Owner characteristic code"
"OWNCHAR_LABEL","Meaning of Owner characteristic code"
"YEAR","Year"
"OWNPDEMP","Number of owners of respondent employer firms"
"OWNPDEMP_PCT","Percent of number of owners of respondent employer firms (%)"
"OWNPDEMP_S","Relative standard error of number of owners of respondent employer firms (%)"
"OWNPDEMP_PCT_S","Standard error of percent of number of owners of respondent employer firms (%)"
